id,dataset,x,y
1,1,10,8.04
1,2,10,9.14
1,3,10,7.46
1,4,8,6.58
2,1,8,6.95
2,2,8,8.14
2,3,8,6.77
2,4,8,5.76
3,1,13,7.58
3,2,13,8.74
3,3,13,12.74
3,4,8,7.71
4,1,9,8.81
4,2,9,8.77
4,3,9,7.11
4,4,8,8.84
5,1,11,8.33
5,2,11,9.26
5,3,11,7.81
5,4,8,8.47
6,1,14,9.96
6,2,14,8.1
6,3,14,8.84
6,4,8,7.04
7,1,6,7.24
7,2,6,6.13
7,3,6,6.08
7,4,8,5.25
8,1,4,4.26
8,2,4,3.1
8,3,4,5.39
8,4,19,12.5
9,1,12,10.84
9,2,12,9.13
9,3,12,8.15
9,4,8,5.56
10,1,7,4.82
10,2,7,7.26
10,3,7,6.42
10,4,8,7.91
11,1,5,5.68
11,2,5,4.74
11,3,5,5.73
11,4,8,6.89
