vowel.dur,aspiration
79.04964828775007,yes
83.88650222927652,yes
81.96280308703763,yes
94.57466405954307,no
97.17349783142737,no
89.06054095916716,no
63.66427955100562,yes
75.34073230397098,yes
79.573869316107,yes
110.61336580084458,no
118.33081380697763,no
92.24170091317774,no
85.62826930807432,no
78.16873412118497,yes
72.30685026506478,yes
69.79633441620336,yes
91.9717520919221,no
94.57904223836522,no
92.15996130848225,no
46.0387392819257,yes
55.33073552186352,yes
51.47187443583334,yes
76.55395678870036,no
91.90565876662049,no
81.56230275187681,no
72.41586658301458,yes
75.24111151229818,yes
88.55855839675542,yes
66.29099547467376,no
64.84763602411192,no
69.77197861125717,no
72.02702722577214,yes
76.52031490624722,yes
90.20857964748075,yes
90.49314001691755,no
101.61894042670383,no
94.08162702072786,no
106.33700475983687,yes
118.81892378517023,yes
130.32872375333682,yes
99.22208795796905,no
104.78606359981768,no
101.85805176058693,no
66.57616800475807,yes
102.24936187393041,yes
95.26141763254259,yes
98.03802707176601,no
111.6401756469827,no
101.352928434153,no
141.2617532419631,no
174.2299364190103,no
153.5117671513717,no
58.67416066928399,yes
71.85201111713013,yes
72.0376173612749,yes
171.8601302954994,no
190.91577817425787,no
177.7409411253359,no
89.42993303240331,yes
84.29811980347601,yes
84.049335783698,yes
163.13828356200588,no
168.1937910520901,no
169.99201366280658,no
81.87534537793795,yes
68.33595064172471,yes
79.67435195898531,yes
71.40738328232032,yes
105.80644067371736,yes
94.48296878110796,yes
88.72141141324619,no
90.83303496834105,no
84.38257220097967,no
77.23732961233054,yes
84.77806957341727,yes
73.01075393547762,yes
75.6784657817775,no
85.69496461257131,no
90.56379925260671,no
74.33622704104437,yes
85.1082250163131,yes
75.6370646760729,yes
101.50918081552618,no
85.73159348807735,no
105.59751709703846,no
73.39780281723662,yes
84.93229096480803,yes
90.89643529064872,yes
98.70003887272105,no
102.2965099217572,no
88.95246552060598,no
80.55639853222374,yes
88.20760433903274,yes
83.23682256553866,yes
91.770293600916375,no
104.50742014586467,no
108.60947261380716,no
70.1675403602735,yes
65.5112075887132,yes
79.63539300845923,yes
67.57974025686053,yes
102.16295986089108,no
83.94858226608903,no
79.69641180841336,no
94.48350276124984,yes
98.77166757325995,yes
104.72792425969146,yes
95.67883740851357,no
101.46020321457172,no
108.36197292019278,no
58.42987072639971,yes
66.91258586491244,yes
59.49563061091112,yes
73.27295300780179,no
88.25854655856347,no
88.63351058420221,no
58.897583200320014,yes
62.08974330658634,yes
62.71931899726724,yes
68.23276732308159,no
73.85672589862224,no
92.50840796477178,yes
87.2068473854597,yes
94.86224156978551,yes
76.1869106488362,no
93.0684296806703,no
86.82771903942665,no
102.4388324584038,no
101.19120490213618,no
97.71762298021258,no
67.25194667825463,yes
77.92164335127438,yes
75.16177458637685,yes
81.97275471081866,yes
85.73736469608662,yes
82.26086223965012,yes
115.76596229804181,no
116.43637803376805,no
113.84220059164818,no
104.43649121037879,yes
74.71034103815555,yes
107.86823022664294,yes
124.825389351372,no
103.22503404972849,no
133.71844746814077,no
44.8410445195222,yes
38.63785920867713,yes
29.909520883741436,yes
93.02873958573343,no
98.20026525869707,no
100.62476317959579,no
73.02615298992521,no
69.09603167129319,no
77.31418988562666,no
90.69971829364931,yes
92.15540522717447,yes
70.68897101288485,yes
71.79759321673629,no
77.08601524365122,no
82.6407209225124,no
53.155059586572406,yes
62.52801781539574,yes
60.60678393464514,yes
92.12856630836086,no
88.68770471150356,no
85.01244777130523,no
83.0911694301335,yes
89.31652447500937,yes
83.06179582700679,yes
90.07027146759583,no
96.47651612294794,no
93.24956761884096,no
70.22794764776563,yes
78.3458686541394,yes
93.77172859927896,yes
