word_1,word_2,word_3,type,n
жадина-говядина,большая,шоколадина,шоколадина,941
жадина-говядина,бука,шоколадина,шоколадина,44
жадина-говядина,булка,шоколадина,шоколадина,250
жадина-говядина,в *опе,огурец,огурец,11
жадина-говядина,в *опе,шоколадина,шоколадина,1117
жадина-говядина,гнилая,шоколадина,шоколадина,12
жадина-говядина,дома,шоколадина,шоколадина,29
жадина-говядина,зеленый,огурец,огурец,343
жадина-говядина,злая,шоколадина,шоколадина,10
жадина-говядина,кислая,капуста,другое,10
жадина-говядина,кошка,поросятина,другое,42
жадина-говядина,кошка,шоколадина,шоколадина,18
жадина-говядина,никто ее,не ест,другое,10
жадина-говядина,кусок,шоколадины,шоколадина,113
жадина-говядина,на пузе,барабан,барабан,14
жадина-говядина,немецкий,барабан,барабан,12
жадина-говядина,*опа,шоколадина,шоколадина,299
жадина-говядина,простая,шоколадина,шоколадина,59
жадина-говядина,пустая,шоколадина,шоколадина,3774
жадина-говядина,соленый,барабан,барабан,11
жадина-говядина,соленый,огурец,огурец,26910
жадина-говядина,соленый,помидор,другое,17
жадина-говядина,сухая,шоколадина,шоколадина,16
жадина-говядина,тупая,шоколадина,шоколадина,50
жадина-говядина,турецкий,барабан,барабан,3003
жадина-говядина,турецкий,таракан,другое,13
